title,composer,style,key,transpose,comp_style,bpm,repeats,time_signature,notes_numbers
500 Miles High,Corea Chick,Bossa Nova,E-,,0,0,,"(4, 4)","[[4, 7, 11, 14], [4, 7, 11, 14], [7, 10, 14, 17], [7, 10, 14, 17], [10, 14, 17, 21], [10, 14, 17, 21], [11, 14, 17, 21], [4, 8, 11, 14, 19], [9, 12, 16, 19], [9, 12, 16, 19], [6, 9, 12, 16], [6, 9, 12, 16], [5, 8, 12, 15], [5, 8, 12, 15], [0, 3, 7, 10], [0, 3, 7, 10], [11, 15, 18, 21, 26], [11, 15, 18, 21, 26], [4, 7, 11, 14], [4, 7, 11, 14], [7, 10, 14, 17], [7, 10, 14, 17], [10, 14, 17, 21], [10, 14, 17, 21], [11, 14, 17, 21], [4, 8, 11, 14, 19], [9, 12, 16, 19], [9, 12, 16, 19], [6, 9, 12, 16], [6, 9, 12, 16], [5, 8, 12, 15], [5, 8, 12, 15], [0, 3, 7, 10], [0, 3, 7, 10], [8, 12, 15, 19], [8, 12, 15, 19], [0, 3, 7, 10], [0, 3, 7, 10], [8, 12, 15, 19], [8, 12, 15, 19]]"
502 Blues,Rowles Jimmy,Waltz,A-,,0,0,,"(3, 4)","[[9, 12, 16, 19], [1, 5, 8, 12], [11, 14, 17, 21], [4, 8, 11, 14, 19], [9, 12, 16, 19], [1, 5, 8, 12], [11, 14, 17, 21], [4, 8, 11, 14, 19], [0, 3, 7, 10], [5, 9, 12, 15, 18], [10, 14, 17, 21], [8, 11, 15, 18], [1, 5, 8, 11], [6, 9, 12, 16], [11, 15, 18, 21, 24], [4, 8, 12, 15], [4, 8, 12, 15], [4, 8, 11, 14], [9, 12, 16, 19], [1, 5, 8, 12], [11, 14, 17, 21], [4, 8, 11, 14, 19], [9, 12, 16, 19], [1, 5, 8, 12], [11, 14, 17, 21], [4, 8, 11, 14, 19], [0, 3, 7, 10], [5, 9, 12, 15, 18], [10, 14, 17, 21], [8, 11, 15, 18], [1, 5, 8, 11], [6, 9, 12, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [4, 7, 11, 14]]"
52nd Street Theme,Monk Thelonious,Up Tempo Swing,C,,0,0,,"(4, 4)","[[0, 4, 7], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7], [7, 11, 14, 17], [0, 4, 7], [0, 4, 7], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7], [7, 11, 14, 17], [0, 4, 7], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12, 14], [5, 9, 12, 14], [2, 6, 9, 12], [2, 6, 9, 12], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7], [7, 11, 14, 17], [0, 4, 7]]"
9.20 Special,Warren Earl,Medium Swing,C,,0,0,,"(4, 4)","[[0, 4, 7, 10, 14], [3, 6, 10, 12], [0, 4, 7, 10, 14], [3, 6, 10, 12], [10, 14, 17], [10, 14, 17, 20], [9, 13, 16, 19], [8, 12, 15, 18], [7, 11, 14, 17], [0, 4, 7, 10, 14], [6, 9, 12, 15], [0, 4, 7, 10, 14], [8, 12, 15, 18], [7, 11, 14, 17], [0, 4, 7, 10, 14], [3, 6, 10, 12], [0, 4, 7, 10, 14], [3, 6, 10, 12], [10, 14, 17], [10, 14, 17, 20], [9, 13, 16, 19], [8, 12, 15, 18], [7, 11, 14, 17], [0, 4, 7, 10, 14], [6, 9, 12, 15], [0, 4, 7, 10, 14], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [3, 7, 10], [3, 7, 10, 12], [3, 7, 10, 12], [3, 7, 10, 12], [7, 11, 14, 17, 21], [5, 9, 12], [5, 9, 12, 14], [5, 9, 12, 15, 19], [5, 9, 12, 15], [0, 4, 7, 10, 14], [3, 6, 10, 12], [0, 4, 7, 10, 14], [3, 6, 10, 12], [10, 14, 17], [10, 14, 17, 20], [9, 13, 16, 19], [8, 12, 15, 18], [7, 11, 14, 17], [0, 4, 7, 10, 14], [6, 9, 12, 15], [0, 4, 7, 9], [5, 9, 12, 15], [10, 14, 17], [2, 6, 9, 12, 16]]"
A Ballad,Mulligan Gerry,Slow Swing,C,,0,0,,"(4, 4)","[[2, 5, 9, 12], [7, 11, 14, 17, 20], [0, 4, 7, 11], [1, 4, 8, 11], [6, 10, 13, 16, 21], [11, 15, 18, 22], [4, 7, 11, 14], [9, 13, 16, 19], [7, 10, 13], [6, 9, 13, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19, 22], [6, 9, 13, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [7, 10, 14, 16], [6, 9, 13, 16], [5, 8, 11, 14], [4, 7, 11, 14], [9, 13, 16, 19, 22], [2, 5, 9, 12], [7, 11, 14, 17], [4, 7, 11, 14], [9, 13, 16, 19, 22], [2, 5, 9, 12], [5, 8, 12, 16], [4, 7, 11, 14], [3, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17, 20], [0, 4, 7, 11], [5, 8, 12, 15], [10, 14, 17, 20], [7, 10, 14, 17], [6, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20, 23], [3, 7, 10, 14], [3, 6, 10, 13], [8, 12, 15, 18], [1, 5, 8, 12], [4, 7, 11, 14], [3, 6, 10, 13], [8, 12, 15, 18, 21], [1, 5, 8, 12], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17, 20], [0, 4, 7, 11], [1, 4, 8, 11], [6, 10, 13, 16, 21], [11, 15, 18, 22], [4, 7, 11, 14], [9, 13, 16, 19], [7, 10, 13], [6, 9, 13, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19, 22], [6, 9, 13, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [7, 10, 14, 16], [6, 9, 13, 16], [5, 8, 11, 14], [4, 7, 11, 14], [9, 13, 16, 19, 22], [2, 6, 9, 13], [2, 5, 9, 12], [7, 11, 14, 17, 20], [0, 4, 7, 11], [1, 4, 8, 11], [6, 10, 13, 16, 21], [11, 15, 18, 22], [4, 7, 11, 14], [9, 13, 16, 19], [7, 10, 13], [6, 9, 13, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19, 22], [6, 9, 13, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [7, 10, 14, 16], [6, 9, 13, 16], [5, 8, 11, 14], [4, 7, 11, 14], [9, 13, 16, 19, 22], [2, 5, 9, 12], [7, 11, 14, 17], [4, 7, 11, 14], [9, 13, 16, 19, 22], [2, 5, 9, 12], [5, 8, 12, 16], [4, 7, 11, 14], [3, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17, 20], [0, 4, 7, 11], [5, 8, 12, 15], [10, 14, 17, 20], [7, 10, 14, 17], [6, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20, 23], [3, 7, 10, 14], [3, 6, 10, 13], [8, 12, 15, 18], [1, 5, 8, 12], [4, 7, 11, 14], [3, 6, 10, 13], [8, 12, 15, 18, 21], [1, 5, 8, 12], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17, 20], [0, 4, 7, 11], [1, 4, 8, 11], [6, 10, 13, 16, 21], [11, 15, 18, 22], [4, 7, 11, 14], [9, 13, 16, 19], [7, 10, 13], [6, 9, 13, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19, 22], [6, 9, 13, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [7, 10, 14, 16], [6, 9, 13, 16], [5, 8, 11, 14], [4, 7, 11, 14], [9, 13, 16, 19, 22], [2, 6, 9, 13], [2, 5, 9, 12], [7, 11, 14, 17], [4, 7, 11, 14], [9, 13, 16, 19, 24], [2, 6, 9, 12], [8, 12, 15, 18], [8, 11, 14], [9, 12, 15], [10, 13, 16], [11, 14, 17], [0, 4, 7], [1, 5, 8, 12], [0, 4, 7, 11, 14]]"
A Beautiful Friendship,Kahn Donald,Medium Swing,C,,0,0,,"(4, 4)","[[0, 4, 7, 11], [6, 10, 13, 16, 20, 24], [5, 9, 12, 16], [4, 7, 10, 14], [9, 13, 16, 19, 22], [9, 12, 16, 19], [2, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [6, 10, 13, 16, 20, 24], [5, 9, 12, 16], [4, 7, 10, 14], [9, 13, 16, 19, 22], [9, 12, 16, 19], [2, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [10, 14, 17, 20], [4, 7, 11, 14], [9, 13, 16, 19], [2, 6, 9, 12], [7, 11, 15, 17], [0, 4, 7, 11], [6, 10, 13, 16, 20, 24], [5, 9, 12, 16], [4, 7, 10, 14], [9, 13, 16, 19, 22], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 9], [9, 13, 16, 19], [2, 6, 9, 12], [7, 11, 14, 17]]"
A Blossom Fell,Barnes-Cornelius,Ballad,Bb,,0,0,,"(4, 4)","[[10, 14, 17, 19], [11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [5, 9, 13, 15], [10, 14, 17, 19], [2, 10, 14, 17, 21], [1, 4, 7], [0, 3, 7, 10], [5, 9, 12, 15], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 19], [11, 14, 17], [0, 5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17, 19], [11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [5, 9, 13, 15], [10, 14, 17, 19], [10, 14, 18, 20], [3, 7, 10, 14], [2, 10, 14, 17, 21], [0, 3, 7, 10], [10, 14, 17, 19], [10, 14, 18, 20], [3, 7, 10, 14], [3, 6, 10, 12], [2, 10, 14, 17, 21], [1, 4, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 19], [0, 3, 7, 10], [5, 9, 12, 15]]"
A Certain Smile,Fain-Webster,Medium Swing,F,,0,0,,"(4, 4)","[[7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [2, 5, 9, 12], [7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [9, 13, 16, 20], [10, 14, 17, 21], [2, 6, 9, 12], [7, 10, 14, 17], [10, 13, 17, 19], [9, 13, 17, 19], [5, 9, 12, 16], [2, 5, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16]]"
A Child Is Born,Jones Thad,Waltz,Bb,,0,0,,"(3, 4)","[[10, 14, 17, 21], [-2, 3, 6], [10, 14, 17, 21], [-2, 3, 6], [10, 14, 17, 21], [-2, 3, 6], [9, 12, 15, 19], [2, 6, 9, 12, 17], [7, 10, 14, 17], [2, 6, 10, 12], [7, 10, 14, 17], [2, 6, 10, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 10, 12, 15], [5, 9, 12, 15], [10, 14, 17, 21], [-2, 3, 6], [10, 14, 17, 21], [-2, 3, 6], [10, 14, 17, 21], [2, 6, 9, 12], [3, 7, 10, 14], [8, 12, 15, 18], [5, 10, 14, 17], [6, 10, 13, 15], [7, 10, 14, 17], [0, 4, 7, 10], [5, 10, 12, 15], [5, 9, 12, 15]]"
A Felicidade,Jobim Antonio-Carlos,Bossa Nova,A-,,0,0,,"(4, 4)","[[9, 12, 16, 19], [9, 12, 16, 19], [0, 4, 7, 11], [0, 4, 7, 11], [4, 7, 11, 14], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [9, 12, 16, 19], [9, 12, 16, 19], [0, 4, 7, 11], [0, 4, 7, 11], [4, 7, 11, 14], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [0, 4, 7, 11], [11, 14, 17, 21], [4, 8, 11, 14, 17], [9, 12, 16, 19], [9, 12, 16, 19], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [2, 5, 9, 12], [9, 12, 16, 19], [2, 6, 9, 12], [9, 12, 16, 19], [11, 14, 17, 21], [4, 8, 11, 14, 17], [9, 12, 16, 19], [7, 11, 14, 17], [0, 4, 7, 11], [5, 9, 12, 15], [0, 4, 7, 11], [0, 4, 7, 11], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [0, 4, 7, 11], [6, 9, 12, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [9, 12, 16, 19], [7, 9, 12, 16, 19], [-6, 2, 9, 12], [-7, 2, 9, 12], [9, 12, 16, 19], [11, 14, 17, 21], [4, 8, 11, 14, 17], [9, 12, 16, 19], [9, 12, 16, 19]]"
A Fine Romance,Kern Jerome,Medium Swing,C,,0,0,,"(4, 4)","[[0, 4, 7, 9], [1, 4, 7, 10], [2, 5, 9, 11], [3, 6, 9, 12], [4, 7, 11, 14], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 9], [3, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17], [4, 7, 11, 14], [9, 13, 16, 19], [2, 6, 9, 12], [7, 11, 14, 17], [0, 4, 7, 9], [1, 4, 7, 10], [2, 5, 9, 11], [3, 6, 9, 12], [4, 7, 11, 14], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 9], [0, 4, 7, 10], [5, 9, 12, 16], [6, 9, 12, 16], [11, 15, 18, 21], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 9], [2, 5, 9, 12], [7, 11, 14, 17]]"
A Flower Is A Lovesome Thing,Strayhorn Billy,Ballad,Db,,0,0,,"(4, 4)","[[11, 15, 18, 21, 25, 29], [11, 15, 18, 21, 25, 29], [11, 15, 18, 21, 25, 29], [11, 15, 18, 21, 25, 29], [10, 14, 17, 20, 24, 27, 31], [3, 7, 10, 13], [8, 12, 15, 18, 22, 25, 29], [1, 5, 8, 11], [2, 6, 9, 13], [3, 7, 10, 13], [2, 6, 9], [1, 5, 8, 10], [11, 15, 18, 21, 25, 29], [11, 15, 18, 21, 25, 29], [11, 15, 18, 21, 25, 29], [11, 15, 18, 21, 25, 29], [10, 14, 17, 20, 24, 27, 31], [3, 7, 10, 13], [8, 12, 15, 18, 22, 25, 29], [1, 5, 8, 11], [2, 6, 9, 13], [3, 7, 10, 13], [2, 6, 9], [1, 5, 8, 10], [3, 6, 10, 13], [8, 12, 16, 18], [1, 5, 8, 12], [4, 7, 11, 14], [9, 13, 16, 19, 22], [2, 6, 9, 13], [8, 11, 14, 18], [1, 5, 9, 11], [2, 6, 9, 13], [8, 12, 15, 18, 22, 26], [7, 11, 14, 17, 21, 25], [6, 10, 13, 17], [8, 12, 15, 18, 22, 26], [11, 15, 18, 21, 25, 29], [11, 15, 18, 21, 25, 29], [11, 15, 18, 21, 25, 29], [11, 15, 18, 21, 25, 29], [10, 14, 17, 20, 24, 27, 31], [3, 7, 10, 13], [8, 12, 15, 18, 22, 25, 29], [1, 5, 8, 11], [2, 6, 9, 13], [3, 7, 10, 13], [2, 6, 9], [1, 5, 8, 10]]"
A Foggy Day,Gershwin George,Medium Swing,F,,0,0,,"(4, 4)","[[5, 9, 12, 16], [6, 9, 12, 15], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [2, 5, 8, 12], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [3, 7, 10, 13], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [6, 9, 12, 15], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [2, 5, 8, 12], [7, 11, 14, 17], [0, 4, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [3, 7, 10, 13], [5, 9, 12, 14], [7, 10, 14, 17], [9, 12, 16, 19], [10, 13, 17, 19], [9, 12, 16, 19], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14], [7, 10, 14, 17], [0, 4, 7, 10]]"
A Ghost Of A Chance,Young Victor,Ballad,C,,0,0,,"(4, 4)","[[0, 4, 7, 11], [1, 5, 8, 11, 15, 19], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [4, 7, 11, 14], [3, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17], [4, 8, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [1, 5, 8, 11, 15, 19], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [4, 7, 11, 14], [3, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [4, 7, 10, 14], [9, 13, 16, 19, 22], [2, 5, 9, 12], [7, 11, 15, 17], [0, 4, 7, 11], [7, 11, 14, 17], [0, 4, 7, 11], [9, 12, 16, 19], [6, 9, 12, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 15, 17], [0, 4, 7, 11], [1, 5, 8, 11, 15, 19], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [4, 7, 11, 14], [3, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17]]"
A Kiss To Build A Dream On,Kalmar-Ruby-Hammerstein,Medium Swing,C,,0,0,,"(4, 4)","[[0, 4, 7, 11], [7, 11, 15], [0, 4, 7, 11], [3, 6, 9, 12], [7, 11, 14, 17], [1, 4, 7, 10], [7, 11, 14, 17], [1, 4, 7, 10], [7, 11, 14, 17], [1, 4, 7, 10], [7, 11, 14, 17], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [2, 6, 9, 12], [7, 11, 15], [0, 4, 7, 11], [7, 11, 15], [0, 4, 7, 11], [3, 6, 9, 12], [7, 11, 14, 17], [1, 4, 7, 10], [7, 11, 14, 17], [1, 4, 7, 10], [7, 11, 14, 17], [1, 4, 7, 10], [7, 11, 14, 17], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [2, 5, 9, 12], [3, 6, 9, 12], [-8, 0, 7, 11], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [4, 7, 10, 13], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [2, 5, 8, 12], [7, 11, 14, 17], [0, 3, 7, 10], [-2, 0, 3, 7], [9, 12, 16, 19], [2, 6, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [2, 5, 9, 12], [4, 7, 11, 14], [3, 6, 9, 12], [7, 11, 14, 17], [1, 4, 7, 10], [7, 11, 14, 17], [1, 4, 7, 10], [7, 11, 14, 17], [1, 4, 7, 10], [7, 11, 14, 17], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [0, 4, 7, 11]]"
A Little Tear,Deodato-Valle,Bossa Nova,Db,,0,0,,"(4, 4)","[[3, 7, 10, 13, 17], [3, 6, 10, 13], [1, 5, 8, 12], [1, 5, 8, 12], [3, 6, 10, 13], [3, 6, 10, 13], [1, 5, 8, 12], [10, 14, 16, 20, 23], [3, 7, 10, 13, 17], [3, 6, 10, 13], [1, 5, 8, 12], [1, 5, 8, 12], [3, 6, 10, 13], [3, 6, 10, 13], [1, 5, 8, 12], [1, 5, 8, 12], [5, 8, 12, 15, 19], [5, 8, 12, 15, 19], [3, 7, 10, 14], [3, 7, 10, 14], [5, 8, 12, 15, 19], [5, 8, 12, 15, 19], [11, 16, 18, 21], [5, 9, 12, 16], [3, 8, 10, 13, 17, 19], [3, 7, 10, 13, 17], [8, 13, 15, 18, 22, 24], [8, 12, 15, 18, 22], [5, 8, 11, 15], [10, 15, 17, 20, 23], [10, 14, 18, 20, 23], [3, 6, 10, 13], [8, 13, 15, 18, 22, 24], [8, 12, 15, 18, 22], [1, 5, 8, 12], [8, 13, 15, 18, 22, 24]]"
A Lovely Way To Spend An Evening,McHugh Jimmy,Ballad,F,,0,0,,"(4, 4)","[[10, 14, 17, 21], [7, 10, 14, 17], [0, 4, 7, 10], [9, 12, 16, 19], [2, 5, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [7, 10, 14, 17], [0, 4, 7, 10], [9, 12, 16, 19], [2, 5, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [3, 7, 10, 13, 17], [9, 12, 16, 19], [2, 5, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [4, 7, 10, 14], [9, 13, 16, 19, 22], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [7, 10, 14, 17], [0, 4, 7, 10], [9, 12, 16, 19], [2, 5, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [0, 3, 7, 10], [5, 9, 12, 15]]"
A Night In Tunisia,Gillespie Dizzy,Latin,D-,,0,0,,"(4, 4)","[[3, 7, 10, 13], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [4, 7, 10, 14], [9, 13, 16, 19, 22], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [4, 7, 10, 14], [9, 13, 16, 19, 22], [2, 5, 9], [9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [7, 10, 14, 17], [7, 10, 13, 17], [0, 4, 7, 10, 13], [5, 9, 12, 16], [4, 7, 10, 14], [9, 13, 16, 19, 22], [3, 7, 10, 13], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [4, 7, 10, 14], [9, 13, 16, 19, 22], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [4, 7, 10, 14], [9, 13, 16, 19, 22], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [4, 7, 10, 14], [9, 13, 16, 19, 22], [2, 5, 9], [9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [7, 10, 14, 17], [7, 10, 13, 17], [0, 4, 7, 10, 13], [5, 9, 12, 16], [4, 7, 10, 14], [9, 13, 16, 19, 22], [3, 7, 10, 13], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [3, 7, 10, 13], [2, 5, 9], [4, 7, 10, 14], [9, 13, 16, 19, 22], [2, 5, 9], [4, 7, 10, 14], [4, 7, 10, 14], [3, 7, 10, 13, 17, 21], [3, 7, 10, 13, 17, 21], [2, 5, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17, 21, 25], [7, 11, 14, 17, 21, 25], [7, 10, 14, 18], [7, 10, 14, 17], [6, 10, 13, 16, 21], [6, 10, 13, 16, 21], [5, 9, 12, 16], [5, 9, 12, 16], [4, 7, 10, 14], [9, 13, 16, 19, 22]]"
A Nightingale Sang In Berkeley Square,Sherwin Manning,Ballad,Eb,,0,0,,"(4, 4)","[[3, 7, 10, 14], [0, 3, 7, 10], [7, 10, 14, 17], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 19], [2, 5, 8], [7, 11, 14, 17], [0, 3, 7], [8, 11, 15, 17], [-2, 3, 7, 14], [5, 8, 12, 15], [-5, 3, 10, 14], [8, 11, 15, 18], [1, 5, 8, 11], [3, 7, 10, 14], [0, 3, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [0, 3, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [9, 12, 15, 19], [2, 6, 9, 12], [7, 11, 14, 18], [4, 7, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12], [11, 14, 18, 21], [10, 13, 16, 19], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [4, 7, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12], [11, 14, 18, 21], [4, 7, 11, 14], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [0, 3, 7, 10], [7, 10, 14, 17], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 19], [2, 5, 8], [7, 11, 14, 17], [0, 3, 7], [8, 11, 15, 17], [-2, 3, 7, 14], [5, 8, 12, 15], [-5, 3, 10, 14], [8, 11, 15, 18], [1, 5, 8, 11], [3, 7, 10, 14], [0, 3, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [0, 3, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20]]"
